,Date,BTC,ETH,LTE,XRP,DIA,SPY,IWM,GLD
0,2017-03-10,0.9396124329158212,1.0888553738316085,0.9775298612625947,0.9583356416932899,0.9740763812353251,1.0034625453931256,1.0042855031771833,1.002184359982525
1,2017-03-13,1.0365422126946142,1.6104411669601815,1.0865251716698967,0.9825811157688688,1.0013417030044565,1.0039692593530951,1.0072410226097237,1.002533857579729
2,2017-03-14,1.0433407184186718,1.613916349363027,1.056473803506846,0.9820117203129523,0.9712492213330778,1.0004644877966389,1.0019210876311513,0.9972040192223676
3,2017-03-15,1.0514265963653595,1.9744575319545066,1.0840059629286303,0.9716702677081989,1.004360534764483,1.0087408158094755,1.0172897886803607,1.0155526430755786
4,2017-03-16,0.9994279034693427,2.6103397549380456,1.1038657100922908,0.9839507426763434,1.0036896832622548,1.007178447766236,1.0192847642973253,1.0200961118392307
5,2017-03-17,0.9257376917410977,2.6374987960863683,1.0564503245748844,0.941204533003392,0.9746034788442184,1.0010978802466008,1.0226836116447466,1.0221930974224547
6,2017-03-20,0.8870331167029857,2.44387132864665,1.0507735024740705,1.07343662474685,0.974411806986439,0.9996621906933537,1.0183981084675633,1.027260812581913
7,2017-03-21,0.9428266526670538,2.43006642436759,1.04449753097024,1.0632567573390461,0.9889788681776797,0.987163246347437,0.9903206738584306,1.0355613805155086
8,2017-03-22,0.8827504007837712,2.384838883878819,1.0255496134339825,1.1235465026807758,0.9888351142843452,0.9892323283506463,0.9900990099009901,1.0381826124945388
9,2017-03-23,0.8738735494103743,2.460103456742721,1.0368928228731569,1.6284710039211348,0.9627198236618908,0.9881344481040455,0.9956406088370032,1.0368719965050237
10,2017-03-24,0.7888329118363043,2.9911797460639784,1.0639690673509778,1.6186373905067932,0.985912118453208,0.9876699603074067,0.9937934091916655,1.0383573612931407
11,2017-03-27,0.8799148741673459,2.797394573901244,1.0617077550937277,1.4769225560623693,0.9833724663376299,0.9863187230808211,0.9955667208511896,1.04438619484491
12,2017-03-28,0.8810760147841046,2.8598004674447965,1.0826538714127771,1.4640973081445101,0.9906559969332502,0.9934549446837262,1.0031771833899807,1.040104849279161
13,2017-03-29,0.8750346908685367,2.9922273819183616,1.0905269107563302,1.5544957618511206,0.9627198236618907,0.9948061819103118,1.0069454706664696,1.042376583660987
14,2017-03-30,0.8636421531829647,2.940393245321748,1.8186207026332135,2.0429755067619566,0.9918060280799269,0.9976775610168063,1.0144081572336336,1.0350371341197027
15,2017-03-31,0.9018082171647067,2.8182566265436426,1.7369282275977684,3.214668396397729,0.9628635775552253,0.9953128958702815,1.0161075809073445,1.0373962429008299
16,2017-04-03,0.9624061360415833,2.4982906083743606,2.102578589581588,5.081854597945254,0.9882600987110066,0.9938772063170342,1.0053199349785724,1.0426387068588903
17,2017-04-04,0.9535208622160967,2.514370833591529,2.1595761359422756,5.763959268219117,0.9643011164885714,0.9944683726036653,1.0040638392197427,1.0451725644386194
18,2017-04-05,0.9463941963869633,2.551662466275527,2.8902517464377664,5.469966698060364,0.9624802338396663,0.9913436365171862,0.9924634254470223,1.0451725644386194
