SNo,Name,Symbol,Month,Day,Year,High,Low,Open,Close,Volume,Marketcap
978,Litecoin,LTC,1,1,2016,3.531019926,3.469249964,3.479520082,3.508980036,2791170,153910742.1
979,Litecoin,LTC,1,2,2016,3.527120113,3.492189884,3.515280008,3.502160072,3020260,153658445
980,Litecoin,LTC,1,3,2016,3.506429911,3.450860023,3.503999949,3.483069897,2406150,152873557.1
981,Litecoin,LTC,1,4,2016,3.507230043,3.476150036,3.479099989,3.495389938,3309740,153467941.9
982,Litecoin,LTC,1,5,2016,3.508189917,3.453720093,3.492000103,3.469670057,2104650,152390642.7
983,Litecoin,LTC,1,6,2016,3.467859983,3.4447999,3.467060089,3.453560114,2208860,151734839
984,Litecoin,LTC,1,7,2016,3.611550093,3.442689896,3.450069904,3.604140043,4560680,158399546.8
985,Litecoin,LTC,1,8,2016,3.641419888,3.533580065,3.596800089,3.568880081,3277990,156901051
986,Litecoin,LTC,1,9,2016,3.585570097,3.543600082,3.574350119,3.560570002,2934720,156586451
987,Litecoin,LTC,1,10,2016,3.560189962,3.496819973,3.559159994,3.536720037,2462000,155590551.2
988,Litecoin,LTC,1,11,2016,3.569220066,3.526269913,3.526269913,3.556619883,2931030,156518392.1
989,Litecoin,LTC,1,12,2016,3.556169987,3.49368,3.55302,3.49368,4566050,153806460.1
990,Litecoin,LTC,1,13,2016,3.4921,3.432810068,3.489979982,3.476020098,6745630,153077222.5
991,Litecoin,LTC,1,14,2016,3.480959892,3.448679924,3.470930099,3.465990067,2044890,152683622.1
992,Litecoin,LTC,1,15,2016,3.464410067,2.996779919,3.464040041,2.996779919,5117640,132055745.6
993,Litecoin,LTC,1,16,2016,3.107180119,2.919460058,2.965719938,3.08694005,4170270,136073727.1
994,Litecoin,LTC,1,17,2016,3.100219965,3.024760008,3.087320089,3.026190042,1905660,133437979
995,Litecoin,LTC,1,18,2016,3.05727005,2.9776299,3.019550085,3.04895997,2304070,134488704.8
996,Litecoin,LTC,1,19,2016,3.055340052,2.99416995,3.047660112,3.017440081,1626900,133140837.6
997,Litecoin,LTC,1,20,2016,3.434499979,2.990700006,3.014800072,3.388530016,4438610,149562676.2
998,Litecoin,LTC,1,21,2016,3.401859999,3.205359936,3.384229898,3.220779896,3665110,142203147.4
