SNo,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
1411,Litecoin,LTC,2017-03-09,3.844470024,3.762809992,3.766390085,3.838419914,3092100,192365805.2
1412,Litecoin,LTC,2017-03-10,3.879420042,3.729480028,3.828279972,3.752170086,7090150,188096028.3
1413,Litecoin,LTC,2017-03-11,3.836600065,3.750129938,3.75880003,3.798000097,3463740,190446085.4
1414,Litecoin,LTC,2017-03-12,3.861040115,3.784250021,3.786600113,3.842570066,3373750,192734981.9
1415,Litecoin,LTC,2017-03-13,4.245510101,3.832420111,3.847440004,4.170539856,22439100,209247491.5
1416,Litecoin,LTC,2017-03-14,4.173810005,4.005710125,4.173810005,4.055190086,7928910,203517140.8
1417,Litecoin,LTC,2017-03-15,4.180399895,4.00248003,4.046860218,4.160870075,6571900,208884338.5
1418,Litecoin,LTC,2017-03-16,4.383709908,4.100550175,4.14730978,4.237100124,12755200,212779672.4
1419,Litecoin,LTC,2017-03-17,4.233170033,4.036849976,4.233170033,4.055099964,11109600,203699158.6
1420,Litecoin,LTC,2017-03-18,4.157460213,3.86067009,4.040520191,3.967619896,12199700,199360039.5
1421,Litecoin,LTC,2017-03-19,4.0271101,3.899849892,3.956500053,3.956409931,6013050,198853053.3
1422,Litecoin,LTC,2017-03-20,4.04542017,3.889950037,3.950479984,4.033309937,4068240,202769043.3
1423,Litecoin,LTC,2017-03-21,4.041059971,3.981930017,4.036369801,4.009220123,4970080,201621297.8
1424,Litecoin,LTC,2017-03-22,4.007050037,3.893549919,3.987349987,3.936490059,5949960,198021517.2
1425,Litecoin,LTC,2017-03-23,4.002490044,3.922139883,3.931740046,3.98003006,3354160,200273944.9
1426,Litecoin,LTC,2017-03-24,4.130700111,3.938410044,3.973069906,4.083960056,12524300,205561868.5
1427,Litecoin,LTC,2017-03-25,4.118919849,3.96743989,4.073470116,4.07062006,7904680,204947911.1
1428,Litecoin,LTC,2017-03-26,4.098760128,4.027090073,4.066150188,4.060739994,3911060,204508540.6
1429,Litecoin,LTC,2017-03-27,4.14346981,4.043580055,4.066390038,4.07528019,5162690,205294093.9
1430,Litecoin,LTC,2017-03-28,4.177149773,4.060359955,4.069680214,4.15568018,4297870,209398408.4
1431,Litecoin,LTC,2017-03-29,4.202010155,4.093910217,4.142370224,4.185900211,8479960,210979437
1432,Litecoin,LTC,2017-03-30,7.044079781,4.145120144,4.178909779,6.980629921,191251008,351939332.9
1433,Litecoin,LTC,2017-03-31,7.074540138,5.854819775,7.018730164,6.667059898,98922600,336227385.4
1434,Litecoin,LTC,2017-04-01,6.984220028,6.311019897,6.653160095,6.883520126,57711700,347247821.5
1435,Litecoin,LTC,2017-04-02,7.944149971,6.648819923,6.862919807,7.74450016,88560400,390795465.2
1436,Litecoin,LTC,2017-04-03,8.635829926,7.242119789,7.744619846,8.070579529,114179000,407377515.6
1437,Litecoin,LTC,2017-04-04,8.962369919,7.52643013,8.118430138,8.289360046,129208000,418556787.9
1438,Litecoin,LTC,2017-04-05,11.42249966,7.961209774,8.247280121,11.09399986,217834000,560338329.9
1439,Litecoin,LTC,2017-04-06,11.4538002,9.664540291,11.12310028,10.2517004,194300000,517958247.8
1440,Litecoin,LTC,2017-04-07,10.56029987,9.190919876,10.22350025,9.371560097,94765600,473622779.8
1441,Litecoin,LTC,2017-04-08,10.3512001,9.331339836,9.336039543,9.916210175,58489100,501272917.4
1442,Litecoin,LTC,2017-04-09,10.01229954,8.427260399,9.888790131,8.709850311,90963296,440413411.7
1443,Litecoin,LTC,2017-04-10,9.201259613,8.185079575,8.720999718,8.917039871,74425696,451008790
1444,Litecoin,LTC,2017-04-11,9.275870323,8.663229942,8.91162014,8.853830338,50700000,447934139.4
1445,Litecoin,LTC,2017-04-12,11.06159973,8.831009865,8.831009865,10.78559971,159255008,545824242.3
1446,Litecoin,LTC,2017-04-13,10.77219963,9.931879997,10.76439953,10.14949989,64187400,513779944.2
1447,Litecoin,LTC,2017-04-14,10.50619984,9.68268013,10.13090038,10.39000034,61137000,526103441.1
1448,Litecoin,LTC,2017-04-15,11.00209999,10.19789982,10.34210014,10.79459953,47922000,546750077.8
1449,Litecoin,LTC,2017-04-16,10.90369987,10.6651001,10.74549961,10.71490002,24321400,542862719.2
1450,Litecoin,LTC,2017-04-17,11.17980003,10.38780022,10.59570026,10.42160034,104055000,528196466.4
1451,Litecoin,LTC,2017-04-18,10.94219971,9.971209526,10.41889954,10.32009983,83183296,523242304.2
1452,Litecoin,LTC,2017-04-19,10.34749985,9.589019775,10.31379986,9.658080101,55784900,489864408
1453,Litecoin,LTC,2017-04-20,10.66349983,9.58891964,9.634750366,10.3348999,55828300,524367323.3
1454,Litecoin,LTC,2017-04-21,11.53670025,10.1626997,10.29150009,11.22780037,99012200,569832265.6
1455,Litecoin,LTC,2017-04-22,13.06820011,11.10739994,11.17660046,13.06459999,158914000,663235620.2
1456,Litecoin,LTC,2017-04-23,14.40629959,12.9538002,13.06529999,13.93910027,198452000,707833524.9
1457,Litecoin,LTC,2017-04-24,14.96549988,13.33129978,13.96399975,14.96549988,60177200,760201117.3
1458,Litecoin,LTC,2017-04-25,15.43019962,14.24359989,14.97869968,15.21280003,56668300,773002033.4
1459,Litecoin,LTC,2017-04-26,15.78800011,14.55580044,15.20590019,14.84809971,71308800,754701192.3
1460,Litecoin,LTC,2017-04-27,15.00349998,13.4744997,14.84360027,14.62199974,76208000,743401961.9
1461,Litecoin,LTC,2017-04-28,14.78380013,14.05620003,14.59309959,14.34150028,41067800,729306971.1
1462,Litecoin,LTC,2017-04-29,15.76690006,14.36200047,14.39700031,15.74209976,45713600,800726755.2
1463,Litecoin,LTC,2017-04-30,16.0727005,15.46759987,15.7031002,15.70559978,43929100,799087301.4
1464,Litecoin,LTC,2017-05-01,16.36580086,14.8757,15.70810032,15.91769981,66989400,810118724.7
1465,Litecoin,LTC,2017-05-02,16.2310009,15.15439987,15.92269993,15.89500046,38692100,809254702.1
1466,Litecoin,LTC,2017-05-03,21.80179977,15.66740036,15.87520027,21.04260063,253440992,1071743437
1467,Litecoin,LTC,2017-05-04,25.68959999,20.85569954,21.04450035,23.39360046,242912000,1191860814
1468,Litecoin,LTC,2017-05-05,27.84659958,23.41629982,23.47120094,26.26689911,218948992,1338680275
1469,Litecoin,LTC,2017-05-06,28.58709908,25.48629951,26.46680069,28.15979958,108083000,1435575548
