SNo,Name,Symbol,Month,Day,Year,High,Low,Open,Close,Volume,Marketcap
880,XRP,XRP,1,1,2016,0.00604414,0.00593277,0.00603989,0.00595503,211767,199716460.9
881,XRP,XRP,1,2,2016,0.00607914,0.00593296,0.00595655,0.00606472,278539,203395182.7
882,XRP,XRP,1,3,2016,0.00606955,0.00598756,0.00606612,0.00601714,291723,201799471.3
883,XRP,XRP,1,4,2016,0.00605878,0.00595342,0.0060187,0.00595775,310820,199807682.8
884,XRP,XRP,1,5,2016,0.00604433,0.00595322,0.00595374,0.00604433,381554,202711354.3
885,XRP,XRP,1,6,2016,0.00604396,0.00598332,0.00604396,0.00600329,316235,201334977.8
886,XRP,XRP,1,7,2016,0.00609039,0.00599831,0.00599831,0.00603918,426048,202538636.5
887,XRP,XRP,1,8,2016,0.00605486,0.00590476,0.00604021,0.00593331,288641,198988027.7
888,XRP,XRP,1,9,2016,0.00600462,0.00593255,0.0059368,0.00598202,310336,200621636.4
889,XRP,XRP,1,10,2016,0.00599884,0.00593071,0.00598211,0.00595606,195011,199751004.5
890,XRP,XRP,1,11,2016,0.00597022,0.00589216,0.00596286,0.00589466,216286,197691805.7
891,XRP,XRP,1,12,2016,0.00589712,0.00585438,0.00589219,0.00585438,310414,196340917.6
892,XRP,XRP,1,13,2016,0.00583602,0.00575262,0.00583602,0.00579364,497284,194303853.5
893,XRP,XRP,1,14,2016,0.00580162,0.00552575,0.00579496,0.00552936,849371,185440578.9
894,XRP,XRP,1,15,2016,0.00552841,0.00522933,0.00552841,0.00522933,441054,175378340.8
895,XRP,XRP,1,16,2016,0.00527367,0.00507187,0.00522065,0.00511205,304209,171445069.8
896,XRP,XRP,1,17,2016,0.00528532,0.00501142,0.00511025,0.0052658,473175,176601451.2
897,XRP,XRP,1,18,2016,0.00541581,0.00526816,0.00526972,0.00532603,514295,178621411.2
898,XRP,XRP,1,19,2016,0.00533041,0.00526208,0.00533041,0.00527071,226472,176766120
899,XRP,XRP,1,20,2016,0.00539406,0.00517788,0.00527112,0.00538087,722260,180460604.4
900,XRP,XRP,1,21,2016,0.00538505,0.00530526,0.00537008,0.00531257,344950,178169997.3
901,XRP,XRP,1,22,2016,0.00531394,0.00509275,0.00531394,0.00511437,355595,171522876.7
902,XRP,XRP,1,23,2016,0.00519201,0.00510948,0.00510948,0.00512009,310286,171714710.8
903,XRP,XRP,1,24,2016,0.00523725,0.00511942,0.00512061,0.00521938,341789,175044643.2
904,XRP,XRP,1,25,2016,0.00521816,0.00506397,0.00521816,0.00513465,412095,174168240.7
905,XRP,XRP,1,26,2016,0.00547733,0.00512453,0.00513755,0.005419,904781,183813443.3
906,XRP,XRP,1,27,2016,0.00657061,0.00540785,0.00540834,0.00650588,2544770,220680606.1
907,XRP,XRP,1,28,2016,0.00650712,0.00609047,0.00650712,0.00622596,2203940,211185669.9
908,XRP,XRP,1,29,2016,0.00690641,0.00592198,0.00622835,0.00683954,2895430,231998412.6
909,XRP,XRP,1,30,2016,0.00700148,0.00661155,0.00682388,0.00663408,1233320,225029172.9
910,XRP,XRP,1,31,2016,0.00663822,0.0063594,0.00663058,0.00639919,977856,217061662.3
911,XRP,XRP,2,1,2016,0.00655139,0.00636592,0.0063985,0.00654171,830380,221895966.1
912,XRP,XRP,2,2,2016,0.00679113,0.00654541,0.00654541,0.00676827,809854,229580921.5
913,XRP,XRP,2,3,2016,0.00690597,0.00675965,0.00677119,0.00688256,803366,233457658.7
914,XRP,XRP,2,4,2016,0.0069897,0.00685644,0.00688192,0.00697046,1174600,236439242.3
915,XRP,XRP,2,5,2016,0.007272,0.00695769,0.0069651,0.00726208,1186010,246331044.5
916,XRP,XRP,2,6,2016,0.00792221,0.00724688,0.00727305,0.00792221,1859040,268722771.5
917,XRP,XRP,2,7,2016,0.00866588,0.00792366,0.00792366,0.00833814,2460140,282831191
918,XRP,XRP,2,8,2016,0.00855076,0.0079587,0.00837531,0.00799082,1048160,272413776.8
919,XRP,XRP,2,9,2016,0.00801954,0.00773605,0.00799948,0.00781542,866765,266434243.2
920,XRP,XRP,2,10,2016,0.00794348,0.00782009,0.00782746,0.00785346,668185,267731058.8
921,XRP,XRP,2,11,2016,0.00789695,0.00777033,0.00785736,0.00781518,565522,266426061.4
922,XRP,XRP,2,12,2016,0.00797939,0.0077303,0.00782219,0.00797939,816579,272024118.5
923,XRP,XRP,2,13,2016,0.00831523,0.00793654,0.00796148,0.00825746,684444,281503758.7
924,XRP,XRP,2,14,2016,0.00863866,0.00826323,0.00826323,0.00859006,1144830,292842372.5
925,XRP,XRP,2,15,2016,0.00865625,0.00855949,0.00859305,0.00863064,734275,294225778.9
926,XRP,XRP,2,16,2016,0.00865971,0.00843355,0.00863086,0.00845089,1012220,288097950.2
927,XRP,XRP,2,17,2016,0.00846072,0.00811304,0.00845599,0.00813791,1556320,277428198.6
928,XRP,XRP,2,18,2016,0.00813545,0.00789677,0.00813545,0.0079953,854073,272566503.8
